"Type","Name","Status"
"Container","eager_meitner","Stopped"
"Container","sweet_khorana","Stopped"
"Container","awesome_sinoussi","Stopped"
"Container","naughty_lichterman","Stopped"
"Container","dreamy_rubin","Stopped"
"Container","eurekaserver","Stopped"
"Image","1f9db7de8e12","Dangling"
"Image","9f71eeb58ac1","Dangling"
"Image","4be1e4e3563a","Dangling"
"Image","51ee37cb247a","Dangling"
"Image","ae31023a1581","Dangling"
"Image","e35f7599db17","Dangling"
"Image","47c9824252f9","Dangling"
"Image","a8ad15d3c10a","Dangling"
"Image","9c933a99b484","Dangling"
"Image","607d8d9d5783","Dangling"
"Image","9a4929acc5f1","Dangling"
"Image","0c852cf549a4","Dangling"
"Image","de514cde7e6e","Dangling"
"Image","cf301afb8745","Dangling"
"Image","995ef81b997d","Dangling"
"Image","005d4805f5ab","Dangling"
"Image","e243619493c9","Dangling"
"Image","7d439c67f95d","Dangling"
"Volume","0ab0520bb99897d8c1ad7fadc5917fca48b117ba0568bf222aaf69c7f6244bec","Unused"
"Volume","97839bb8918031e51f48a48af807b606a67f6b144a43ecbbeccedbccf1e75e3c","Unused"
"Volume","47091599ca963d72a5ab61f475baf388bdc7ee559578af8483119da3c2941225","Unused"
"Volume","ae9eb542d8b2573910473005a8fe0fc7cf7aa942bf8bdb66bd679eb9dd6f6059","Unused"
"Volume","e8ec53a0f4c77a406bdfa3b10a89d59fd5deec0e704e8226c2105b82c1286a24","Unused"
